,Reaction,Product
895533,C c 1 n c 2 c c c c c 2 [nH] 1 . Cl C C C Br > A_[Na+] A_ClCCl A_[OH-] A_[Br-] A_CCCC[N+](CCCC)(CCCC)CCCC,C c 1 n c 2 c c c c c 2 n 1 C C C Cl
29754,O = S ( Cl ) Cl . O C c 1 c c c c c 1 O c 1 c c c c c 1 > A_c1ccccc1,Cl C c 1 c c c c c 1 O c 1 c c c c c 1
377126,C O C ( = O ) c 1 c c ( C O ) c ( C ) o 1 > A_O A_[Na+] A_ClCCl A_O=C([O-])O A_CCOCC,C O C ( = O ) c 1 c c ( C = O ) c ( C ) o 1
857844,N c 1 c c c c c 1 . O = C c 1 c c c o 1 > A_ClCCl A_O=S(=O)([O-])[O-] A_[Mg+2],C ( = N / c 1 c c c c c 1 ) \ c 1 c c c o 1
2247,Cl c 1 n c n c c 1 O c 1 c c c c c 1 . [NH4+] > A_CCO A_[Cl-] A_N,N c 1 n c n c c 1 O c 1 c c c c c 1
790680,C [SiH] ( C ) C ( C ) ( C ) C . O C 1 C C N C C 1 > A_O A_ClCCl A_CCN(CC)CC A_[Cl-] A_CN(C)c1ccncc1,C C ( C ) ( C ) [Si] ( C ) ( C ) O C 1 C C N C C 1
399695,C O c 1 c ( C ) c c ( F ) c c 1 F . I I > A_C1CCOC1 A_CCOC(C)=O A_[Li+],C O c 1 c ( C ) c c ( F ) c ( I ) c 1 F
482187,N # C C C c 1 c c c c ( C 2 O C C O 2 ) c 1 > A_C1CCOC1 A_Cl,N # C C C c 1 c c c c ( C = O ) c 1
32743,C O . O = C 1 C C ( = O ) N C ( = S ) N 1 > A_O A_[Na+] A_[OH-],C S c 1 n c ( O ) c c ( O ) n 1
18326,C # C C Br . C C ( C ) c 1 n [nH] c ( S ) n 1 > A_[Na+] A_C[O-],C # C C S c 1 n c ( C ( C ) C ) n [nH] 1
447410,O = C ( C 1 C C 1 ) N 1 C C N C C 1 > A_O A_C1CCOC1 A_[Na+] A_[OH-] A_[H-] A_[Li+],C 1 C N ( C C 2 C C 2 ) C C N 1
193623,C O c 1 c c c 2 [nH] c c c 2 c 1 > A_C1CCOC1 A_[Na+] A_O=C([O-])[O-] A_Cl A_[OH-],C O c 1 c c c 2 c ( c 1 ) C C N 2
394156,N # C C c 1 c s c 2 c c c c c 1 2 > A_[Na+] A_[K+] A_[H-] A_[Cl-] A_CCOCC A_[Li+],N C C c 1 c s c 2 c c c c c 1 2
331048,Cl c 1 c c n c c 1 . N c 1 c c c ( S ) c c 1 > A_O A_[K+] A_CN(C)C=O A_O=C([O-])[O-] A_Cl A_CCOC(C)=O,N c 1 c c c ( S c 2 c c n c c 2 ) c c 1
669271,C [Mg] Br . O = C c 1 c c n c ( F ) c 1 Cl > A_C1CCOC1 A_[Cl-] A_[NH4+],C C ( O ) c 1 c c n c ( F ) c 1 Cl
301799,C O . Cl c 1 n c ( Cl ) n c ( Cl ) n 1 . O = C ( [O-] ) O > A_[K+] A_CCOC(C)=O,C O c 1 n c ( Cl ) n c ( O C ) n 1
619796,C N C ( = O ) c 1 c c ( Br ) c c ( C ) c 1 N . [C-] # N > A_O A_[Na+] A_CN(C)c1ccncc1,C N C ( = O ) c 1 c c ( C # N ) c c ( C ) c 1 N
621844,C C ( = O ) Cl . c 1 c c 2 c c [nH] c 2 c n 1 > A_ClCCl A_[Cl-],C C ( = O ) c 1 c [nH] c 2 c n c c c 1 2
510862,C C C [C@@H] ( N C ( = O ) C C ) C ( = O ) O C > A_C1CCOC1 A_[Na+] A_[OH-] A_[H-] A_[Li+],C C C N [C@@H] ( C O ) C C C
200726,O = C c 1 c c c c c 1 O C c 1 c c c c c 1 > A_[Na+] A_CCO,O C c 1 c c c c c 1 O C c 1 c c c c c 1
324678,C C ( C ) ( C ) N S ( = O ) ( = O ) C C C Cl . C C I >,C C C 1 ( S ( = O ) ( = O ) N C ( C ) ( C ) C ) C C 1
548177,C = C C ( = O ) O C C . N c 1 c c c c ( Cl ) c 1 > A_Cl A_CCO,C C O C ( = O ) C C N c 1 c c c c ( Cl ) c 1
587385,C O C ( = O ) c 1 c c c c c 1 N . C S ( = O ) ( = O ) Cl >,C O C ( = O ) c 1 c c c c c 1 N S ( C ) ( = O ) = O
115686,O = C 1 C O C ( c 2 c c c c ( Cl ) n 2 ) C N 1 > A_C1CCOC1 A_CO,Cl c 1 c c c c ( C 2 C N C C O 2 ) n 1
